UTC Time,Latitude,Longitude,GForce,satCount
135103.000,51.467337,5.373988,0.28,19
135103.000,51.467337,5.373988,0.28,19
135103.000,51.467337,5.373988,0.24,19
135103.000,51.467337,5.373988,0.22,19
135104.000,51.467275,5.373967,0.25,19
135104.000,51.467275,5.373967,0.23,19
135104.000,51.467275,5.373967,0.29,19
135104.000,51.467275,5.373967,0.25,19
135104.000,51.467275,5.373967,0.10,19
135104.000,51.467275,5.373967,0.08,19
135104.000,51.467275,5.373967,0.09,19
135104.000,51.467275,5.373967,0.12,19
135104.000,51.467275,5.373967,0.13,19
135104.000,51.467275,5.373967,0.15,19
135105.000,51.467206,5.373923,0.14,19
135105.000,51.467206,5.373923,0.20,19
135105.000,51.467206,5.373923,0.21,19
135105.000,51.467206,5.373923,0.20,19
135105.000,51.467206,5.373923,0.41,19
135105.000,51.467206,5.373923,0.36,19
135105.000,51.467206,5.373923,0.37,19
135105.000,51.467206,5.373923,0.39,19
135105.000,51.467206,5.373923,0.40,19
135105.000,51.467206,5.373923,0.37,19
135106.000,51.467127,5.373842,0.38,19
135106.000,51.467127,5.373842,0.39,19
135106.000,51.467127,5.373842,0.42,19
135106.000,51.467127,5.373842,0.46,19
135106.000,51.467127,5.373842,0.44,19
135106.000,51.467127,5.373842,0.41,19
135106.000,51.467127,5.373842,0.46,19
135106.000,51.467127,5.373842,0.41,19
135106.000,51.467127,5.373842,0.47,19
135106.000,51.467127,5.373842,0.43,19
135107.000,51.467053,5.373719,0.42,19
135107.000,51.467053,5.373719,0.37,19
135107.000,51.467053,5.373719,0.36,19
135107.000,51.467053,5.373719,0.27,19
135107.000,51.467053,5.373719,0.22,19
135107.000,51.467053,5.373719,0.15,19
135107.000,51.467053,5.373719,0.16,19
135107.000,51.467053,5.373719,0.25,19
135107.000,51.467053,5.373719,0.23,19
135107.000,51.467053,5.373719,0.34,19
135108.000,51.467013,5.373544,0.35,19
135108.000,51.467013,5.373544,0.41,19
135108.000,51.467013,5.373544,0.43,19
135108.000,51.467013,5.373544,0.40,19
135108.000,51.467013,5.373544,0.38,19
135108.000,51.467013,5.373544,0.40,19
135108.000,51.467013,5.373544,0.35,19
135108.000,51.467013,5.373544,0.52,19
135108.000,51.467013,5.373544,0.42,19
135108.000,51.467013,5.373544,0.36,19
135109.000,51.466982,5.373382,0.48,19
135109.000,51.466982,5.373382,0.46,19
135109.000,51.466982,5.373382,0.39,19
135109.000,51.466982,5.373382,0.46,19
135109.000,51.466982,5.373382,0.59,19
135109.000,51.466982,5.373382,0.51,19
135109.000,51.466982,5.373382,0.47,19
135109.000,51.466982,5.373382,0.49,19
135109.000,51.466982,5.373382,0.34,19
135109.000,51.466982,5.373382,0.32,19
135110.000,51.466937,5.373264,0.37,19
135110.000,51.466937,5.373264,0.37,19
135110.000,51.466937,5.373264,0.37,19
135110.000,51.466937,5.373264,0.34,19
135110.000,51.466937,5.373264,0.35,19
135110.000,51.466937,5.373264,0.36,19
135110.000,51.466937,5.373264,0.33,19
135110.000,51.466937,5.373264,0.18,19
135110.000,51.466937,5.373264,0.25,19
135110.000,51.466937,5.373264,0.30,19
135111.000,51.466863,5.373162,0.30,19
135111.000,51.466863,5.373162,0.30,19
135111.000,51.466863,5.373162,0.22,19
135111.000,51.466863,5.373162,0.30,19
135111.000,51.466863,5.373162,0.26,19
135111.000,51.466863,5.373162,0.26,19
135111.000,51.466863,5.373162,0.22,19
135111.000,51.466863,5.373162,0.15,19
135111.000,51.466863,5.373162,0.50,19
135112.000,51.466766,5.373043,0.26,19
135112.000,51.466766,5.373043,0.20,19
135112.000,51.466766,5.373043,0.38,19
135112.000,51.466766,5.373043,0.41,19
135112.000,51.466766,5.373043,0.32,19
135112.000,51.466766,5.373043,0.47,19
135112.000,51.466766,5.373043,0.33,19
135112.000,51.466766,5.373043,0.29,19
135112.000,51.466766,5.373043,0.27,19
135112.000,51.466766,5.373043,0.30,19
135113.000,51.466664,5.372923,0.37,19
135113.000,51.466664,5.372923,0.40,19
135113.000,51.466664,5.372923,0.30,19
135113.000,51.466664,5.372923,0.38,19
135113.000,51.466664,5.372923,0.34,19
135113.000,51.466664,5.372923,0.34,19
135113.000,51.466664,5.372923,0.41,19
135113.000,51.466664,5.372923,0.41,19
135113.000,51.466664,5.372923,0.41,19
135113.000,51.466664,5.372923,0.47,19
135114.000,51.466570,5.372850,0.50,19
135114.000,51.466570,5.372850,0.56,19
135114.000,51.466570,5.372850,0.58,19
135114.000,51.466570,5.372850,0.53,19
135114.000,51.466570,5.372850,0.49,19
135114.000,51.466570,5.372850,0.44,19
135114.000,51.466570,5.372850,0.48,19
135114.000,51.466570,5.372850,0.41,19
135114.000,51.466570,5.372850,0.42,19
135114.000,51.466570,5.372850,0.43,19
135115.000,51.466478,5.372835,0.40,19
135115.000,51.466478,5.372835,0.47,19
135115.000,51.466478,5.372835,0.41,19
135115.000,51.466478,5.372835,0.40,19
135115.000,51.466478,5.372835,0.48,19
135115.000,51.466478,5.372835,0.44,19
135115.000,51.466478,5.372835,0.44,19
135115.000,51.466478,5.372835,0.41,19
135115.000,51.466478,5.372835,0.48,19
135115.000,51.466478,5.372835,0.49,19
135116.000,51.466381,5.372874,0.47,19
135116.000,51.466381,5.372874,0.52,19
135116.000,51.466381,5.372874,0.56,19
135116.000,51.466381,5.372874,0.55,19
135116.000,51.466381,5.372874,0.68,19
135116.000,51.466381,5.372874,0.57,19
135116.000,51.466381,5.372874,0.62,19
135116.000,51.466381,5.372874,0.65,19
135116.000,51.466381,5.372874,0.58,19
135116.000,51.466381,5.372874,0.58,19
135117.000,51.466294,5.372975,0.59,18
135117.000,51.466294,5.372975,0.59,18
135117.000,51.466294,5.372975,0.56,18
135117.000,51.466294,5.372975,0.59,18
135117.000,51.466294,5.372975,0.61,18
135117.000,51.466294,5.372975,0.50,18
135117.000,51.466294,5.372975,0.52,18
135117.000,51.466294,5.372975,0.50,18
135117.000,51.466294,5.372975,0.53,18
135117.000,51.466294,5.372975,0.37,18
135118.000,51.466225,5.373108,0.49,18
135118.000,51.466225,5.373108,0.49,18
